Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM▼,BPM,VORP,Awards,Player-additional
53,Collin Gillespie,26,PHO,PG,80,58,2282,15.3,.575,.686,.103,4.2,12.0,8.0,23.3,2.1,0.7,12.4,18.7,3.6,2.5,6.2,.130,1.9,0.6,2.5,2.6,,gilleco01
54,Jalen Duren,22,DET,C,70,70,1976,26.1,.688,.000,.535,15.3,26.4,20.9,11.0,1.4,3.0,11.6,23.6,7.2,3.8,11.0,.266,4.4,0.5,5.0,3.5,DPOY-11ASNBA3,durenja01
55,Isaiah Joe,26,OKC,SG,71,9,1507,15.5,.657,.788,.227,2.5,10.2,6.5,8.6,1.6,0.7,7.0,18.4,3.2,2.4,5.5,.176,2.0,0.5,2.5,1.7,,joeis01
56,Kevin Huerter,27,2TM,SF,69,14,1549,13.2,.552,.545,.119,2.4,14.2,8.4,16.1,1.9,1.9,10.3,18.8,0.8,1.7,2.5,.078,-1.1,0.5,-0.6,0.6,,huertke01
57,Jake LaRavia,24,LAL,PF,82,43,2061,11.9,.571,.465,.291,6.8,11.5,9.3,9.3,2.5,1.7,12.9,14.4,1.7,2.1,3.8,.089,-1.6,0.5,-1.2,0.4,,laravja01
58,Andrew Wiggins,30,MIA,SF,68,68,2063,15.1,.586,.406,.197,5.7,10.8,8.3,12.3,1.7,3.0,10.3,19.7,2.2,2.3,4.6,.106,0.7,0.5,1.2,1.7,,wiggian01
59,Wendell Carter Jr.,26,ORL,C,78,78,2288,14.1,.617,.355,.392,7.8,20.5,14.1,9.5,1.3,1.9,11.8,15.6,3.4,2.8,6.2,.131,-1.0,0.5,-0.6,0.8,,cartewe01
60,Tyrese Maxey,25,PHI,PG,70,70,2661,21.9,.588,.399,.278,1.0,11.0,5.9,28.9,2.4,1.9,9.2,29.4,5.9,2.8,8.7,.156,5.0,0.5,5.4,4.9,CPOY-7ASNBA3,maxeyty01
61,Bam Adebayo,28,MIA,C,73,73,2365,18.7,.551,.349,.369,6.5,25.7,16.1,14.1,1.7,1.8,8.3,25.0,2.8,3.6,6.4,.129,1.5,0.4,2.0,2.4,DPOY-11DEF2,adebaba01
62,Dominick Barlow,22,PHI,PF,71,59,1689,13.2,.597,.206,.328,8.5,13.5,11.0,7.0,1.8,2.9,10.9,12.8,2.2,1.8,3.9,.112,-1.5,0.4,-1.1,0.4,,barlodo01
63,Jarrett Allen,27,CLE,C,56,56,1519,22.1,.669,.019,.494,10.5,24.0,17.2,9.7,1.7,2.9,10.4,19.9,4.2,2.2,6.4,.202,2.2,0.4,2.6,1.8,,allenja01
64,Brook Lopez,37,LAC,C,75,40,1635,12.3,.552,.585,.137,3.4,15.7,9.7,8.5,1.4,5.0,9.6,17.2,0.5,1.8,2.3,.068,-1.3,0.4,-0.9,0.5,,lopezbr01
65,Josh Giddey,23,CHI,PG,54,51,1731,18.0,.562,.395,.318,4.2,23.1,13.7,41.1,1.5,1.4,19.3,24.4,1.6,1.7,3.2,.090,2.3,0.4,2.7,2.0,,giddejo01
66,Cooper Flagg,19,DAL,SF,70,70,2344,17.9,.548,.204,.286,3.9,17.0,10.5,21.5,1.7,2.3,10.7,26.9,1.3,2.5,3.8,.078,1.0,0.4,1.4,2.0,ROY-1,flaggco01
67,Davion Mitchell,27,MIA,PG,70,70,2000,12.1,.582,.428,.122,1.6,8.0,4.8,29.1,1.6,0.5,16.1,13.6,2.6,1.7,4.3,.104,-1.3,0.4,-0.9,0.6,,mitchda01
68,Devin Vassell,25,SAS,SG,67,65,2044,13.0,.574,.572,.172,2.1,11.8,7.1,11.0,1.3,1.1,6.9,18.0,2.3,2.6,4.9,.115,0.1,0.3,0.5,1.3,,vassede01
69,LeBron James,41,LAL,SF,60,60,1989,20.8,.594,.264,.344,2.6,18.3,10.7,34.1,1.8,1.6,14.5,27.2,3.4,2.1,5.4,.131,3.3,0.2,3.5,2.8,AS,jamesle01
70,Tari Eason,24,HOU,PF,60,34,1549,12.9,.514,.448,.116,9.0,17.8,13.5,8.0,2.3,1.7,11.7,18.7,0.6,2.3,2.9,.091,-1.8,0.2,-1.6,0.2,,easonta01
71,Kevin Durant,37,HOU,SF,78,78,2840,21.1,.641,.327,.339,1.6,14.8,8.3,20.7,1.1,2.3,13.5,27.1,7.5,3.2,10.7,.180,4.4,0.1,4.5,4.7,CPOY-9ASNBA2,duranke01
72,Naji Marshall,28,DAL,SF,74,47,2184,15.4,.592,.259,.365,3.2,13.6,8.4,16.4,1.8,0.2,11.1,20.5,2.5,1.8,4.3,.095,-0.7,0.1,-0.6,0.8,,marshna01
73,Tristan Da Silva,24,ORL,SF,77,34,1899,12.0,.576,.518,.153,3.4,13.4,8.3,9.3,1.7,1.2,9.4,16.2,1.3,2.1,3.3,.084,-0.7,0.1,-0.6,0.7,,dasiltr01
74,Tre Jones,26,CHI,PG,65,41,1752,18.7,.637,.211,.368,2.3,9.9,6.2,29.2,2.0,0.5,11.4,19.2,4.6,1.1,5.7,.157,1.2,0.1,1.3,1.5,,jonestr01
75,Bruce Brown,29,DEN,SG,82,4,1998,10.8,.562,.284,.241,5.0,12.5,8.9,11.3,2.1,0.9,13.6,14.5,1.2,1.8,2.9,.071,-2.5,0.1,-2.4,-0.2,,brownbr01
76,Harrison Barnes,33,SAS,PF,77,52,1986,11.8,.608,.623,.214,3.5,7.9,5.8,9.7,1.2,0.5,8.8,14.6,2.7,2.1,4.8,.117,-0.2,0.1,-0.1,1.0,,barneha02
77,Nikola Vučević,35,2TM,C,64,49,1818,17.7,.574,.339,.116,7.5,23.9,15.8,17.7,1.0,2.0,9.2,21.4,2.5,1.9,4.4,.116,1.4,0.1,1.5,1.6,,vucevni01
78,P.J. Washington,27,DAL,PF,56,53,1736,13.1,.537,.356,.277,5.2,18.7,12.0,8.1,1.5,2.9,11.3,20.1,-0.3,2.0,1.7,.046,-1.7,0.1,-1.6,0.2,,washipj01
79,Kel'el Ware,21,MIA,C,77,34,1704,20.0,.616,.359,.148,13.1,29.2,21.1,4.6,1.6,4.4,8.2,18.0,3.2,3.0,6.2,.175,2.1,0.1,2.1,1.8,,wareke01
80,Luke Kennard,29,2TM,SG,78,6,1681,13.5,.689,.553,.156,2.1,10.0,6.1,13.8,1.6,0.4,11.2,13.5,3.2,1.4,4.5,.130,0.1,0.1,0.1,0.9,,kennalu01
81,Toumani Camara,25,POR,PF,82,82,2731,11.3,.578,.664,.154,5.0,11.7,8.4,10.4,1.6,1.1,13.1,16.3,2.1,2.7,4.8,.084,-1.0,0.0,-1.0,0.7,,camarto01
82,Paolo Banchero,23,ORL,PF,72,72,2502,17.6,.566,.239,.512,3.8,23.4,13.5,23.4,1.0,1.4,13.6,27.6,2.0,3.0,5.0,.095,1.4,0.0,1.4,2.1,,banchpa01
83,Sam Hauser,28,BOS,PF,78,49,1934,11.9,.590,.839,.033,3.3,13.6,8.5,7.9,1.0,1.2,5.4,14.5,2.9,2.1,5.0,.124,0.6,0.0,0.6,1.3,,hausesa01
84,Julius Randle,31,MIN,PF,79,79,2610,18.4,.585,.287,.411,5.7,16.5,11.2,23.1,1.6,0.6,13.2,26.5,4.3,3.1,7.4,.135,1.5,0.0,1.5,2.3,,randlju01
85,Myles Turner,29,MIL,C,71,71,1912,14.2,.584,.594,.274,4.5,17.8,11.2,7.7,1.3,6.0,10.3,18.6,1.2,1.8,3.0,.076,-0.9,0.0,-0.9,0.5,,turnemy01
86,Jamal Shead,23,TOR,PG,82,12,1852,10.5,.491,.520,.230,1.6,7.2,4.4,30.6,2.0,0.8,16.8,15.5,0.8,2.0,2.7,.070,-2.3,0.0,-2.3,-0.1,6MOY-12,sheadja01
87,Pelle Larsson,24,MIA,SG,70,54,1849,13.1,.605,.343,.413,3.8,9.9,6.8,16.8,1.2,0.8,13.3,16.8,2.6,1.5,4.1,.106,-1.2,0.0,-1.2,0.4,,larsspe01
88,VJ Edgecombe,20,PHI,SG,75,75,2623,14.0,.540,.409,.176,5.0,12.7,8.8,17.4,2.0,1.4,11.0,20.1,1.9,2.5,4.4,.081,-0.4,-0.1,-0.5,1.0,ROY-3,edgecvj01
89,LaMelo Ball,24,CHO,PG,72,69,2017,19.7,.546,.595,.144,3.7,15.5,9.7,42.6,2.1,0.8,13.2,32.0,3.6,2.6,6.2,.147,4.8,-0.1,4.7,3.4,,ballla01
90,Duncan Robinson,31,DET,SG,77,77,2113,12.4,.629,.768,.158,1.6,9.2,5.4,10.1,1.0,1.0,6.7,15.8,3.8,2.3,6.1,.139,0.8,-0.1,0.8,1.5,,robindu01
91,Brandin Podziemski,22,GSW,SG,82,43,2333,15.0,.583,.476,.278,3.4,16.9,10.0,19.2,1.8,0.6,11.9,20.1,2.8,2.3,5.1,.105,0.3,-0.1,0.2,1.3,,podzibr01
92,Brandon Miller,23,CHO,SF,65,65,1968,16.8,.574,.511,.214,4.1,14.0,9.2,17.8,1.7,2.1,12.5,28.1,2.1,2.4,4.5,.109,1.7,-0.1,1.6,1.8,,millebr02
93,Kelly Oubre Jr.,30,PHI,SF,50,41,1574,13.0,.580,.439,.267,3.4,14.2,8.7,7.3,2.1,1.4,10.2,18.2,1.1,1.6,2.7,.083,-1.3,-0.1,-1.4,0.2,,oubreke01
94,Jaime Jaquez Jr.,24,MIA,SF,75,1,2121,15.7,.570,.200,.236,4.7,13.7,9.2,24.0,1.1,0.9,13.1,22.3,2.2,2.0,4.2,.094,0.3,-0.1,0.1,1.1,6MOY-2,jaqueja01
95,Jaylen Brown,29,BOS,SF,71,71,2443,22.0,.573,.262,.347,3.7,18.1,11.1,25.9,1.5,1.1,12.7,36.2,3.5,3.4,6.9,.135,3.5,-0.1,3.3,3.3,MVP-6ASNBA2,brownja02
96,Anthony Edwards,24,MIN,SG,61,60,2137,21.8,.617,.418,.355,1.9,13.4,7.8,17.6,1.9,2.0,10.9,31.5,3.9,2.7,6.5,.147,4.7,-0.1,4.5,3.5,CPOY-3AS,edwaran01
97,Miles Bridges,27,CHO,PF,77,77,2387,16.0,.570,.427,.243,3.6,17.4,10.6,15.9,1.0,1.3,8.5,22.3,4.0,2.5,6.5,.130,1.2,-0.1,1.1,1.9,,bridgmi02
98,Jabari Smith Jr.,22,HOU,PF,77,77,2705,13.5,.570,.501,.215,4.5,17.0,10.8,7.3,1.0,2.4,9.0,18.2,3.4,3.3,6.6,.118,-0.5,-0.2,-0.7,0.9,,smithja05
99,Donovan Mitchell,29,CLE,SG,70,70,2342,22.9,.613,.439,.306,2.4,12.4,7.4,27.9,2.1,0.8,11.1,32.2,5.8,2.4,8.2,.169,5.2,-0.2,5.1,4.2,MVP-7ASNBA2,mitchdo01
100,Zaccharie Risacher,20,ATL,SF,67,46,1503,11.8,.557,.481,.168,5.0,13.6,9.3,6.8,1.9,2.2,9.2,17.6,0.5,1.9,2.3,.074,-2.3,-0.2,-2.5,-0.2,,risacza01
101,Desmond Bane,27,ORL,SG,82,82,2756,16.9,.607,.354,.287,3.9,9.8,6.8,19.3,1.5,1.2,10.8,23.3,4.8,2.6,7.4,.129,1.6,-0.2,1.4,2.3,,banede01
102,Ayo Dosunmu,26,2TM,SG,69,19,1881,16.5,.630,.375,.194,2.7,10.7,6.8,19.6,1.5,0.8,10.6,20.2,3.5,1.3,4.9,.124,1.3,-0.3,1.0,1.4,6MOY-9,dosunay01
103,Norman Powell,32,MIA,SG,58,52,1717,17.5,.609,.458,.355,1.3,11.0,6.1,12.5,1.7,0.7,9.7,27.2,2.3,1.7,4.0,.112,1.8,-0.3,1.6,1.5,AS,powelno01
104,Keldon Johnson,26,SAS,SF,82,0,1911,17.3,.613,.343,.243,7.9,16.6,12.4,8.5,1.2,0.5,7.4,21.0,3.9,2.6,6.4,.161,1.2,-0.3,0.9,1.4,6MOY-1,johnske04
105,Payton Pritchard,28,BOS,PG,79,50,2556,17.1,.584,.515,.125,3.0,10.2,6.7,23.5,1.1,0.4,8.7,21.4,6.1,2.4,8.5,.160,2.6,-0.3,2.3,2.8,,pritcpa01
106,Moses Moody,23,GSW,SG,60,49,1540,13.5,.600,.677,.203,3.6,11.0,7.2,9.2,1.8,2.0,8.6,18.3,1.7,1.4,3.1,.096,0.2,-0.3,-0.1,0.7,,moodymo01
107,Nickeil Alexander-Walker,27,ATL,SG,78,71,2603,16.5,.610,.526,.257,2.1,9.1,5.6,15.8,1.9,1.5,10.9,23.9,3.6,2.7,6.3,.116,1.6,-0.4,1.2,2.1,MIP-1,alexani01
