Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM▼,BPM,VORP,Awards,Player-additional
135,Jock Landale,30,2TM,C,68,27,1506,16.6,.595,.352,.230,12.9,14.9,13.9,11.1,1.1,2.2,9.0,18.3,2.7,1.1,3.8,.122,0.9,-1.0,-0.1,0.7,,landajo01
136,DeMar DeRozan,36,SAC,PF,77,77,2406,17.8,.594,.146,.429,1.6,9.1,5.3,20.0,1.6,0.9,7.4,22.8,5.2,0.4,5.6,.112,0.9,-1.0,-0.1,1.1,,derozde01
137,Pascal Siakam,31,IND,PF,62,62,2057,18.6,.562,.254,.327,4.6,17.4,10.9,19.9,1.6,1.0,9.5,30.1,1.1,1.5,2.6,.062,1.8,-1.0,0.7,1.4,AS,siakapa01
138,Russell Westbrook,37,SAC,SF,64,58,1853,15.1,.528,.452,.218,4.7,16.6,10.5,34.3,2.2,0.6,18.5,25.9,-0.6,0.9,0.4,.009,0.6,-1.0,-0.4,0.7,,westbru01
139,Precious Achiuwa,26,SAC,C,73,57,1745,16.2,.558,.162,.232,11.0,20.8,15.8,8.5,1.8,2.6,9.0,17.6,1.8,1.2,2.9,.081,-0.5,-1.1,-1.6,0.2,,achiupr01
140,Noah Clowney,21,BRK,PF,66,60,1780,11.2,.554,.621,.355,3.2,15.3,8.9,9.5,1.4,2.3,12.3,20.4,-0.1,1.2,1.1,.029,-2.3,-1.1,-3.4,-0.6,,clownno01
141,Nique Clifford,23,SAC,SG,75,28,1882,9.0,.505,.388,.163,3.8,13.3,8.4,13.0,1.7,1.2,15.4,17.0,-1.2,0.6,-0.6,-0.014,-3.7,-1.2,-4.9,-1.4,,cliffni01
142,Michael Porter Jr.,27,BRK,SF,52,52,1689,19.9,.595,.506,.237,4.5,21.7,12.6,18.2,1.6,0.7,10.3,30.5,1.7,1.3,2.9,.083,4.2,-1.2,3.0,2.1,,portemi01
143,Kyle Kuzma,30,MIL,PF,69,43,1806,14.1,.581,.347,.270,3.6,15.9,9.8,15.5,1.3,1.5,13.4,21.8,0.9,1.0,1.9,.051,-1.0,-1.3,-2.3,-0.1,,kuzmaky01
144,Jeremiah Fears,19,NOP,PG,82,49,2112,13.8,.525,.304,.245,3.0,12.4,7.7,19.9,2.2,1.3,13.8,25.5,-0.8,1.4,0.6,.015,-1.4,-1.3,-2.7,-0.4,,fearsje01
145,Dillon Brooks,30,PHO,SF,56,56,1702,14.1,.540,.385,.211,2.7,10.8,6.6,9.6,1.7,0.5,8.6,28.6,0.4,1.6,2.1,.058,-1.0,-1.3,-2.3,-0.1,,brookdi01
146,Dennis Schröder,32,2TM,PG,70,17,1697,12.9,.526,.362,.326,2.1,10.5,6.2,27.7,1.6,0.6,14.7,21.0,0.8,0.7,1.5,.043,-0.9,-1.3,-2.2,-0.1,,schrode01
147,Jaylen Wells,22,MEM,SG,69,69,1821,11.5,.559,.523,.245,3.6,9.6,6.5,8.8,1.6,0.5,8.7,19.3,0.9,0.7,1.6,.042,-1.8,-1.4,-3.1,-0.5,,wellsja01
148,Bennedict Mathurin,23,2TM,SF,54,25,1620,14.7,.575,.352,.496,3.9,16.5,10.2,12.0,1.3,0.7,12.5,25.2,1.0,1.1,2.1,.062,-1.1,-1.4,-2.5,-0.2,,mathube01
149,Jamal Murray,28,DEN,PG,75,75,2652,21.8,.622,.414,.287,1.4,12.0,7.0,31.1,1.2,1.0,10.0,27.9,7.8,1.7,9.5,.173,5.5,-1.4,4.1,4.1,CPOY-2ASNBA3,murraja01
150,Rui Hachimura,27,LAL,PF,68,41,1927,11.6,.620,.439,.121,2.6,10.9,6.9,4.1,1.0,1.0,6.3,15.2,2.1,1.1,3.2,.080,-0.8,-1.5,-2.2,-0.1,,hachiru01
151,Klay Thompson,35,DAL,SF,69,8,1497,11.4,.541,.724,.065,1.3,8.8,5.1,9.5,1.0,1.2,7.8,22.7,-0.3,0.9,0.5,.018,0.2,-1.5,-1.4,0.2,,thompkl01
